author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
developer,5,19,3,63.36,not available,False,158996
representative_developer,2,7,3,73.24,not available,False,140137
homeowner,6,10,3,108.5,not available,False,95853
developer,1,21,3,86.22,not available,False,145512
developer,17,24,3,69.1,not available,False,186242
real_estate_agent,18,23,3,84.0,Опалиха,True,157738
real_estate_agent,8,25,3,91.2,Салтыковская,True,149999
developer,6,18,3,80.2,not available,False,171836
real_estate_agent,1,10,3,56.0,Вавиловская,True,249982
developer,2,9,3,55.6,not available,False,252284
developer,2,25,3,83.77,not available,False,171422
developer,3,17,3,90.82,not available,False,160000
real_estate_agent,1,10,3,106.0,not available,False,139623
real_estate_agent,7,10,3,105.0,not available,False,142857
real_estate_agent,17,23,3,77.1,not available,False,193904
