author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/308142818/,Москва и МО,sale,flat,4,5,3,51.0,-1,0,4400000.0,Кировский, 64-й Армии,67,,
Гарант Плюс Недвижимость,real_estate_agent,https://lipetsk.cian.ru/sale/flat/296818828/,Москва и МО,sale,flat,5,9,3,52.6,-1,0,4600000.0,мкр. 12-й, Филипченко,3,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/307671938/,Москва и МО,sale,flat,7,9,3,63.0,-1,0,4600000.0,Кировский, Кирова,96,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/308347703/,Москва и МО,sale,flat,3,5,3,57.8,-1,0,4750000.0,Краснооктябрьский, Генерала Штеменко,13,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/303941709/,Москва и МО,sale,flat,7,9,3,81.7,-1,0,4899999.0,Красноармейский,проспект Столетова,55,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/299875307/,Москва и МО,sale,flat,6,9,3,64.4,-1,0,4980000.0,Волжский, Пушкина,136,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/282189389/,Москва и МО,sale,flat,2,5,3,58.2,-1,0,5000000.0,Советский,Университетский проспект,40,,
ВолгаЖилСтрой,real_estate_agent,https://nn.cian.ru/sale/flat/279085273/,Москва и МО,sale,flat,3,3,3,52.6,-1,0,5100000.0,Канавинский, Чкалова,13,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/297601174/,Москва и МО,sale,flat,1,9,3,57.3,-1,0,5190000.0,Советский, Тулака,14,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/305792158/,Москва и МО,sale,flat,2,5,3,60.5,-1,0,5200000.0,Краснооктябрьский, Репина,1,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/306907540/,Москва и МО,sale,flat,9,9,3,59.9,-1,0,5290000.0,Тракторозаводский, Менжинского,11А,,
Русская Жилищная Компания,real_estate_agent,https://yaroslavl.cian.ru/sale/flat/306672250/,Москва и МО,sale,flat,8,10,3,64.9,-1,0,5290000.0,Фрунзенский, 1-я Тормозная,60,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/307505426/,Москва и МО,sale,flat,6,9,3,64.6,-1,0,5299000.0,Тракторозаводский, Менжинского,15,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/307396511/,Москва и МО,sale,flat,8,9,3,60.9,-1,0,5350000.0,Красноармейский, 50 лет Октября,17,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/306861605/,Москва и МО,sale,flat,6,9,3,70.5,-1,0,5600000.0,Ворошиловский, Елисеева,15,,
Объединение Застройщиков,representative_developer,https://rostov.cian.ru/sale/flat/296113585/,Москва и МО,sale,flat,7,10,3,67.69,-1,0,5638238.0,Батайск, Ушинского,27Ак3,,Пальмира 2.0
Ваш дом,real_estate_agent,https://kemerovo.cian.ru/sale/flat/305336508/,Москва и МО,sale,flat,5,5,3,59.0,-1,0,5680000.0,Юрга, Павлова,12,,
Стройтэк,real_estate_agent,https://ekb.cian.ru/sale/flat/305051924/,Москва и МО,sale,flat,5,5,3,57.5,-1,0,5799000.0,Кировский, Пионеров,12к2,Динамо,
Русская Жилищная Компания,real_estate_agent,https://yaroslavl.cian.ru/sale/flat/307593897/,Москва и МО,sale,flat,5,5,3,63.4,-1,0,5790000.0,Кировский, Свердлова,43а,,
Жилстрой Девелопмент,developer,https://penza.cian.ru/sale/flat/293644616/,Москва и МО,sale,flat,1,16,3,69.58,-1,0,5914300.0,Октябрьский, Леонова,с4,,Алфавит
ИП Жиров С. Н.,real_estate_agent,https://belgorod.cian.ru/sale/flat/309296308/,Москва и МО,sale,flat,1,10,3,71.6,-1,0,6000000.0,Западный,бульвар Юности,,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/306543050/,Москва и МО,sale,flat,7,9,3,68.9,-1,0,6100000.0,Красноармейский,Изобильная ,14,,
ВолгаЖилСтрой,real_estate_agent,https://nn.cian.ru/sale/flat/308973919/,Москва и МО,sale,flat,5,6,3,62.0,-1,0,6190000.0,Советский,Родниковая ,46,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/299880078/,Москва и МО,sale,flat,7,9,3,76.1,-1,0,6150000.0,Волжский, Пушкина,124Б,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/306056021/,Москва и МО,sale,flat,2,9,3,54.2,-1,0,6200000.0,Центральный, Ткачева,15,,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/306853311/,Москва и МО,sale,flat,1,9,3,64.4,-1,0,6200000.0,Центральный,Невская ,18,,
Century 21,real_estate_agent,https://spb.cian.ru/sale/flat/307610397/,Москва и МО,sale,flat,8,9,3,59.8,-1,0,6300000.0,,Ленинградская ,21к1,Ладожская,
Адресат,real_estate_agent,https://volgograd.cian.ru/sale/flat/307547659/,Москва и МО,sale,flat,4,9,3,62.6,-1,0,6300000.0,Тракторозаводский, Академика Павлова,4,,
Балтийская коммерция,developer,https://spb.cian.ru/sale/flat/306971646/,Москва и МО,sale,flat,5,9,3,88.0,-1,0,32863600.0,Петроградский, Чапаева,17к2,Горьковская,Мануфактура James Beck
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/300298619/,Москва и МО,sale,flat,8,12,3,136.5,-1,0,102000000.0,Раменки, Сергея Бондарчука,4,Мичуринский проспект,Река
Екатерина Трипольская,realtor,https://www.cian.ru/sale/flat/308788985/,Москва и МО,sale,flat,8,12,3,94.0,-1,0,49000000.0,Видовая кв-ра в е Мосфильма3-комн. квартира,94 м²,,,
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/307575112/,Москва и МО,sale,flat,3,17,3,72.6,-1,0,18150000.0,Василеостровский,проспект Крузенштерна,4,Горный институт,Морская набережная
RND,real_estate_agent,https://www.cian.ru/sale/flat/307753411/,Москва и МО,sale,flat,24,44,3,137.0,-1,0,125000000.0,Раменки,Минская ,2,Минская,Долина Сетунь
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308346343/,Москва и МО,sale,flat,19,22,3,114.7,-1,0,63500000.0,Донской, Вавилова,2,Ленинский проспект,Нескучный сад
Интеллект,developer,https://krym.cian.ru/sale/flat/295983929/,Москва и МО,sale,flat,4,13,3,57.19,-1,0,18279349.0,,,,,Парковая Резиденция
SELS,real_estate_agent,https://www.cian.ru/sale/flat/308688012/,Москва и МО,sale,flat,5,28,3,94.0,-1,0,57000000.0,Филевский парк,Береговой проезд,1А,Шелепиха,мой адрес На Береговом
Снегири,developer,https://www.cian.ru/sale/flat/304284346/,Москва и МО,sale,flat,3,4,3,217.0,-1,0,430000201.0,Раменки,Минская ,2Вк6,Минская,Снегири Эко
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/309009720/,Москва и МО,sale,flat,2,12,3,91.2,-1,0,23700189.0,Выборгский,Светлановский проспект,8,Удельная,Панорама парк Сосновка
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/306888870/,Москва и МО,sale,flat,25,35,3,137.6,-1,0,70000000.0,Щукино,Авиационная ,79К1,Щукинская,Алые Паруса
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/305638927/,Москва и МО,sale,flat,4,8,3,134.0,-1,0,153250000.0,Красносельский,Милютинский переулок,3,Лубянка,
