author_type,url,floor,floors_count,rooms_count,total_meters,price,underground,availability_underground,price_per_meter
real_estate_agent,https://www.cian.ru/sale/flat/301041042/,3,7,2,70.0,90460000,Арбатская,True,1292286
real_estate_agent,https://www.cian.ru/sale/flat/305062277/,4,7,2,65.0,94000000,Спортивная,True,1446154
real_estate_agent,https://www.cian.ru/sale/flat/304171712/,16,20,2,90.0,94500000,Белорусская,True,1050000
real_estate_agent,https://www.cian.ru/sale/flat/305274218/,2,5,2,84.63,139639500,Чистые пруды,True,1650000
real_estate_agent,https://www.cian.ru/sale/flat/307660856/,2,6,2,87.0,200100000,Спортивная,True,2300000
real_estate_agent,https://sochi.cian.ru/sale/flat/277328404/,4,10,1,24.0,12000000,,False,500000
real_estate_agent,https://sochi.cian.ru/sale/flat/308250031/,6,7,2,70.0,18500000,,False,264286
homeowner,https://sochi.cian.ru/sale/flat/308023241/,11,14,2,100.2,85000000,,False,848303
developer,https://ryazan.cian.ru/sale/flat/292410247/,24,25,1,26.21,3275464,,False,124970
representative_developer,https://krasnodar.cian.ru/sale/flat/301286110/,1,3,2,61.2,5501880,,False,89900
realtor,https://khimki.cian.ru/sale/flat/278651048/,5,15,2,37.3,5800000,,False,155496
